Pos,Player,Score2021,Score2020,Score2019,Score2018,Score
QB,Josh Allen (BUF),25.396509978907066,26.3425323271099,18.635299904619508,14.854494726779343,24.429793795922635
QB,Lamar Jackson (BAL),22.996133363672335,25.109614472732112,30.822544844576665,12.710019098228749,23.792839075755538
QB,Justin Herbert (LAC),23.71848638895831,23.717998254506327,0,0,23.71834282861598
QB,Patrick Mahomes II (KC),22.24267472687699,26.90106283112553,21.64291051773862,28.462549779364274,23.65828908464965
QB,Kyler Murray (ARI),23.09887903572469,24.38966533687233,18.90582334141021,0,22.99695614694532
QB,Aaron Rodgers (GB),22.120018774307574,27.384899435906622,16.075830878692805,18.757963139192086,22.663717368390085
QB,Tom Brady (TB),23.04703907416738,21.896792645185094,16.900823084186307,17.260755171231605,21.855541672776916
QB,Dak Prescott (DAL),20.481174577963994,23.22426778672022,22.93571318020465,16.988795454448468,21.23778278420134
QB,Jalen Hurts (PHI),22.762456167516035,16.70812342110229,0,0,20.98187690679575
QB,Matthew Stafford (LAR),22.497289020609756,19.09788325951685,21.093932583177292,11.359767956635366,20.950225883394566
QB,Deshaun Watson (CLE),0,26.183372656496573,21.68730220258389,20.296783954140132,19.945295793283552
QB,Kirk Cousins (MIN),20.366268059646085,20.529319179555408,16.210832895907068,16.57509506230091,19.801928673382257
QB,Russell Wilson (DEN),17.642475044710082,24.238601306253557,19.961606275523177,19.627022170902325,19.622647089486872
QB,Joe Burrow (CIN),20.565881266340007,16.73062395058884,0,0,19.437932089777586
QB,Ryan Tannehill (TEN),17.377484440950322,22.938041581088896,22.09243959164373,10.674519791831772,18.90397100859838
QB,Carson Wentz (WAS),14.808188478573236,17.13005428138679,18.278818084890652,17.91392562406249,15.891004747182828
QB,Jameis Winston (NO),14.650571006696424,0,20.9735144280784,16.842676649378056,15.639632811133508
QB,Derek Carr (LV),15.212587544575488,16.813902753865648,15.527056843627914,10.912684569614168,15.429368128055204
QB,Gardner Minshew II (PHI),0,19.38884728488659,17.01002986389535,0,15.341559701121703
QB,Ben Roethlisberger (FA),12.95195226509494,19.381701619706106,0,21.51633199720638,15.213459710938105
QB,Tua Tagovailoa (MIA),14.83225232743885,13.579914701280307,0,0,14.463939831585622
QB,Teddy Bridgewater (MIA),13.954291761162716,16.325360607538517,11.583223449195133,0,14.328446481394003
QB,Matt Ryan (IND),11.276424495208301,18.056142435952815,18.631562256525644,22.556405746094825,14.270866819070491
QB,Jared Goff (DET),12.952969615526648,15.919756377538182,15.70648754417983,17.868294254499084,14.215784330843471
QB,Taysom Hill (NO),14.37237144221846,13.604080313750886,0,0,14.146417021336147
QB,Daniel Jones (NYG),14.00241563130303,12.197004384744359,17.147309060152473,0,13.858569210391291
QB,Baker Mayfield (CLE),13.03038144841896,14.043391701524305,15.251070331621591,17.90449040210595,13.74940834769991
QB,Mitchell Trubisky (PIT),0,18.342759312248887,13.084331677690647,16.15135825498893,13.7384663625905
QB,Cam Newton (FA),12.10093760664712,16.050257429574316,0,21.00274708377639,13.69210907943697
QB,Jimmy Garoppolo (SF),15.910755779330767,7.957268414202385,14.663706547775051,0,13.686878969482674
QB,Taylor Heinicke (WAS),13.209506453948425,0,0,0,13.209506453948425
QB,Trevor Siemian (CHI),12.544346823296125,0,0,0,12.544346823296125
QB,Andy Dalton (NO),10.73536878842555,12.985775189193687,15.929340535499861,15.05317068309368,12.033257658058421
QB,Mac Jones (NE),11.911409254762933,0,0,0,11.911409254762933
QB,Tyrod Taylor (NYG),11.346332617054202,0,0,0,11.346332617054202
QB,Sam Darnold (CAR),11.491963340002975,9.191393409936751,14.203620835200535,10.591586854257015,11.142967782718877
QB,Trevor Lawrence (JAC),10.93637290268759,0,0,0,10.93637290268759
QB,Davis Mills (HOU),10.274944165758317,0,0,0,10.274944165758317
QB,Zach Wilson (NYJ),10.092644908593629,0,0,0,10.092644908593629
QB,Nick Mullens (LV),0,11.714489083376375,0,14.213189404623236,9.947438390081146
QB,Jacoby Brissett (CLE),8.62621361771714,0,13.293085079135231,0,9.293109549553785
QB,Tyler Huntley (BAL),9.098383852719296,0,0,0,9.098383852719296
QB,Justin Fields (CHI),8.846435614758835,0,0,0,8.846435614758835
QB,Joe Flacco (NYJ),0,10.227792172959788,7.655453360166757,14.048214566503129,8.251053420542647
QB,Mike White (NYJ),7.802468319288984,0,0,0,7.802468319288984
QB,Drew Lock (SEA),3.854614268998255,13.224991194444911,11.126400664461524,0,7.085679545525553
QB,C.J. Beathard (JAC),0,6.275422394817796,0,11.961898490940163,5.923153527233943
QB,Jake Luton (JAC),0,6.8447559887453755,0,0,5.612699910771208
QB,Brandon Allen (CIN),0,6.44048413410223,0,0,5.281196989963829
QB,Mike Glennon (NYG),2.240586957166678,9.80945920996584,0,0,4.466592286714912
